,B14.5,B15.5,B17.5,B20,B34,C14.5,C15.5,C17.5,C20,C34
ENSMUSG00000077223,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000044387,0,0,0,0,3,0,0,0,0,0
ENSMUSG00000033863,46,60,188,448,4377,54,88,85,188,2934
ENSMUSG00000080626,0,0,0,0,3,0,0,0,0,1
ENSMUSG00000006456,740,826,651,474,298,468,673,508,520,310
ENSMUSG00000095913,15,10,8,12,5,16,7,9,5,8
ENSMUSG00000025075,1,4,8,1,0,1,0,5,4,0
ENSMUSG00000034108,195,167,180,162,144,191,191,226,176,203
ENSMUSG00000067872,9,10,16,27,43,12,12,19,30,4
ENSMUSG00000083282,276,357,418,445,698,448,478,572,609,1262
ENSMUSG00000006457,6,5,9,22,14,24,29,22,43,13
ENSMUSG00000024943,1445,1164,987,1079,740,2046,1214,786,1134,1009
ENSMUSG00000117837,0,0,0,0,3,0,0,0,0,0
ENSMUSG00000118919,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000006463,257,299,291,272,375,247,268,273,307,316
ENSMUSG00000033207,50,54,66,80,64,54,69,75,133,81
ENSMUSG00000118092,0,0,0,0,0,0,0,0,1,1
ENSMUSG00000117850,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000033053,13,8,8,13,12,14,14,10,14,8
ENSMUSG00000117944,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000044424,2370,2069,1985,1799,727,1856,1776,2106,1334,627
ENSMUSG00000088027,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098010,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051255,915,611,669,636,388,838,543,620,549,398
ENSMUSG00000074925,882,718,633,643,945,1038,814,322,794,1499
ENSMUSG00000117685,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000006464,650,658,732,715,950,682,752,719,824,614
ENSMUSG00002074886,0,0,0,0,0,1,1,0,1,0
ENSMUSG00000024897,1024,1568,2692,3627,5289,2012,2736,4601,5282,2813
ENSMUSG00000118287,0,0,1,2,2,0,0,1,0,0
ENSMUSG00000118340,16,21,16,13,9,18,26,16,17,10
ENSMUSG00000071604,51,71,74,151,200,159,151,214,238,233
ENSMUSG00000117820,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000096796,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000063904,968,821,666,642,661,914,892,948,892,572
ENSMUSG00000024812,634,493,493,481,529,560,596,342,599,856
ENSMUSG00000118277,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000118371,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000024901,158,215,273,302,287,226,230,295,222,409
ENSMUSG00000059363,153,133,112,100,68,96,136,132,149,65
ENSMUSG00000082107,1776,1497,1064,986,301,1455,943,705,698,317
ENSMUSG00000024902,543,528,525,547,354,577,513,740,501,363
ENSMUSG00000045903,76,111,213,254,375,126,192,298,253,194
ENSMUSG00000118364,30,33,77,101,45,48,65,67,91,21
ENSMUSG00000117723,0,0,0,1,2,2,0,0,1,0
ENSMUSG00000024867,58,37,89,69,180,48,72,41,48,522
ENSMUSG00000085003,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000074922,159,211,201,214,179,134,177,205,211,98
ENSMUSG00000048572,52,54,88,52,57,75,150,36,101,50
ENSMUSG00000041731,52,67,154,64,37,148,252,36,152,76
ENSMUSG00000097950,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000117934,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000058927,1243,1101,962,1189,2288,1455,1109,1617,1443,2821
ENSMUSG00000051490,0,0,0,0,0,5,13,4,3,1
ENSMUSG00000049134,13,15,12,17,7,21,21,28,28,4
ENSMUSG00000024891,213,232,294,338,264,142,214,382,412,180
ENSMUSG00000090990,1,0,1,0,0,0,0,0,0,0
ENSMUSG00000047379,1,4,6,8,10,4,1,7,15,8
ENSMUSG00000024878,218,166,106,107,139,192,118,101,81,152
ENSMUSG00000117789,2,0,2,0,1,3,2,2,0,2
ENSMUSG00000119558,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002075381,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025076,169,161,128,173,114,141,183,214,238,44
ENSMUSG00000080268,5,7,3,3,1,4,0,2,2,6
ENSMUSG00000052085,20,13,45,50,74,25,20,24,40,60
ENSMUSG00000024883,64,63,74,88,595,72,72,42,41,41
ENSMUSG00000065634,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000056481,242,259,470,271,116,249,507,175,258,42
ENSMUSG00000061451,69,168,371,590,2821,106,302,1067,1193,1405
ENSMUSG00000117893,6,8,6,13,10,7,14,14,19,8
ENSMUSG00000032702,106,109,160,175,642,161,197,150,285,556
ENSMUSG00000118238,670,557,623,527,316,419,449,459,367,125
ENSMUSG00000064843,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117720,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024837,8,2,0,0,1,1,0,0,0,0
ENSMUSG00000042372,115,54,17,17,1,2,0,5,0,0
ENSMUSG00000048138,23,25,25,43,40,0,7,2,6,0
ENSMUSG00000098105,6,5,6,4,8,2,4,3,5,9
ENSMUSG00000118016,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117950,0,0,0,1,1,0,0,0,0,0
ENSMUSG00000084589,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000024875,200,177,146,142,143,118,159,143,206,238
ENSMUSG00000118005,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117707,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118001,0,0,0,1,1,1,0,0,1,0
ENSMUSG00000117803,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025078,763,598,547,538,329,666,490,311,501,546
ENSMUSG00000114682,0,0,0,0,0,0,1,0,0,1
ENSMUSG00000117890,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000035283,28,41,42,78,253,9,10,41,45,42
ENSMUSG00000024873,1713,2458,2631,2691,2595,1366,2557,4549,2792,407
ENSMUSG00000067063,0,1,2,0,0,0,1,0,0,1
ENSMUSG00000035173,1029,940,1075,918,912,1186,814,452,694,1075
ENSMUSG00000024870,1556,1563,1417,1515,1547,1124,1332,1497,1453,1125
ENSMUSG00000024862,991,1219,1321,1552,2542,1399,1479,2132,1903,2827
ENSMUSG00000117710,14,12,22,24,9,13,16,23,24,14
ENSMUSG00000117729,21,30,44,40,33,61,53,93,69,15
ENSMUSG00000024855,1139,1454,1884,2083,1593,1574,1904,2345,2600,644
ENSMUSG00002076406,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000118104,0,2,0,0,0,0,0,0,0,0
ENSMUSG00000024853,5362,4611,4121,3843,3133,5315,4155,4386,3486,3377
ENSMUSG00000118243,2,0,1,1,3,4,4,0,3,6
ENSMUSG00000047658,162,192,223,289,374,137,229,334,292,174
ENSMUSG00000118009,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117807,2,3,3,4,2,5,2,3,8,6
ENSMUSG00000038498,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000024846,1,3,14,11,35,4,10,17,21,24
ENSMUSG00000118610,0,0,0,0,0,1,0,1,0,0
ENSMUSG00000025081,15,28,44,33,15,22,21,60,39,10
ENSMUSG00000024844,929,1010,793,848,411,583,766,1012,759,369
ENSMUSG00000024841,447,353,211,214,241,394,297,324,227,270
ENSMUSG00000025082,11,14,22,12,1,10,19,19,15,0
ENSMUSG00000039148,1186,1148,1114,943,656,1431,1030,1269,944,877
ENSMUSG00000117959,6,6,7,15,11,7,6,10,16,9
ENSMUSG00000039330,0,3,1,1,3,2,2,2,0,2
ENSMUSG00000051133,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024914,1498,1801,1737,1669,1134,1158,1531,2574,1573,911
ENSMUSG00000047423,386,434,410,399,479,294,478,527,461,388
ENSMUSG00002076078,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117771,694,527,410,487,323,412,439,560,511,331
ENSMUSG00000117845,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024912,2,2,4,2,3,1,3,3,1,2
ENSMUSG00000095098,255,315,291,411,548,236,339,504,411,477
ENSMUSG00000025083,121,160,343,295,389,176,265,281,358,899
ENSMUSG00000024911,663,717,546,601,315,528,732,792,708,458
ENSMUSG00000024910,35,26,15,16,14,35,28,36,18,15
ENSMUSG00000024909,223,236,230,221,128,203,298,247,278,170
ENSMUSG00000024906,434,444,372,337,241,369,400,428,339,594
ENSMUSG00000117966,2,3,2,1,0,2,1,5,3,1
ENSMUSG00000056201,14982,13839,14633,14551,12815,11439,13664,16938,12576,6829
ENSMUSG00000056185,684,926,1008,926,990,936,1107,1541,1230,1394
ENSMUSG00000100937,30,29,38,29,29,33,36,19,48,39
ENSMUSG00000024922,3,3,1,1,1,3,2,2,4,2
ENSMUSG00000117861,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000049562,34,58,42,71,64,36,47,45,69,33
ENSMUSG00000024925,234,224,179,127,156,134,148,197,160,206
ENSMUSG00000024921,2324,2472,3186,3346,2938,2273,1991,1900,1763,3411
ENSMUSG00000093628,1,0,0,0,0,0,0,1,0,0
ENSMUSG00000093772,5,6,5,7,5,7,10,8,5,6
ENSMUSG00000118331,0,0,0,0,1,1,1,0,0,0
ENSMUSG00000074913,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118313,1,0,0,0,0,0,0,0,1,0
ENSMUSG00000118209,0,0,1,2,1,0,1,0,2,0
ENSMUSG00000118020,1,2,1,0,2,1,0,1,0,4
ENSMUSG00000024926,801,742,653,723,636,759,714,850,759,707
ENSMUSG00000024927,443,541,529,438,325,333,439,526,429,345
ENSMUSG00000024924,1005,1183,1445,1809,1829,1629,1422,915,1430,2703
ENSMUSG00000047298,2,2,4,0,3,5,7,1,6,5
ENSMUSG00000117752,0,1,0,1,0,1,0,0,0,1
ENSMUSG00000117705,0,0,1,0,0,1,0,0,0,0
ENSMUSG00000041360,1149,936,1097,1131,831,1119,744,763,886,627
ENSMUSG00000118072,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088266,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000040929,1502,1270,1364,1430,1197,1486,1042,537,767,549
ENSMUSG00000025085,944,1465,2438,3067,2137,1909,2194,2434,3126,4331
ENSMUSG00000092617,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000092182,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000117788,0,0,0,1,1,2,1,0,0,1
ENSMUSG00000101084,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000117862,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000117684,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000117670,4,3,10,11,3,5,5,1,9,7
ENSMUSG00000033478,763,778,774,752,561,747,723,547,622,620
ENSMUSG00000117927,0,2,0,0,0,0,0,5,1,1
ENSMUSG00000052942,57,63,115,166,102,210,239,110,142,48
ENSMUSG00000089952,0,0,1,0,0,0,1,0,0,0
ENSMUSG00000025086,303,377,464,634,348,330,363,401,509,342
ENSMUSG00000097735,0,0,0,1,0,0,1,0,1,0
ENSMUSG00000067351,2,4,5,4,1,2,3,3,4,1
ENSMUSG00000090737,819,770,618,576,602,676,600,578,610,312
ENSMUSG00000056917,429,417,440,421,353,289,517,429,435,172
ENSMUSG00000098069,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000118178,1,0,0,0,1,0,0,0,0,0
ENSMUSG00000118248,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117770,0,0,1,0,1,3,0,0,0,0
ENSMUSG00000117978,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000024935,271,371,494,721,1324,290,412,730,698,730
ENSMUSG00000089993,50,50,31,28,15,36,44,33,23,5
ENSMUSG00000054843,1145,1217,1131,1368,2201,1630,1429,954,1386,1247
ENSMUSG00000093757,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117871,0,3,0,1,1,0,1,0,2,0
ENSMUSG00000087002,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064202,24,16,21,21,67,16,11,16,27,44
ENSMUSG00000040105,177,212,262,326,563,280,285,394,440,761
ENSMUSG00000118165,2,2,0,1,1,2,2,1,1,3
ENSMUSG00000025089,294,285,382,440,637,898,919,706,882,476
ENSMUSG00000118253,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025090,0,0,1,1,1,1,0,0,3,2
ENSMUSG00000100001,0,0,0,0,1,0,1,0,1,0
ENSMUSG00000046008,2,0,6,5,6,3,3,4,3,0
ENSMUSG00000118223,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101088,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024780,1568,1251,1083,1214,1571,1581,1059,740,969,2702
ENSMUSG00000042179,1,2,0,1,0,1,2,3,0,0
ENSMUSG00000054874,1551,1878,1596,1602,959,1216,2004,1787,2154,781
ENSMUSG00000063754,1509,1039,926,970,513,1557,868,1207,850,699
ENSMUSG00000025091,1,1,0,2,2,0,0,2,1,0
ENSMUSG00000024782,887,798,895,850,902,754,742,710,904,1283
ENSMUSG00000100075,9,6,9,10,12,15,19,9,17,9
ENSMUSG00000098568,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118320,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026931,0,0,0,0,2,1,0,1,1,0
ENSMUSG00002076056,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000091410,0,3,1,1,0,0,0,0,2,1
ENSMUSG00000024785,245,197,193,229,151,136,194,228,215,169
ENSMUSG00000004054,291,274,319,232,263,196,318,232,261,306
ENSMUSG00000065556,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118077,1,0,0,0,0,0,0,0,1,1
ENSMUSG00000068466,4782,3318,2415,2870,1355,4283,2388,2226,2401,1113
ENSMUSG00000024936,4,2,4,1,0,3,9,0,3,3
ENSMUSG00000025092,1282,1721,2349,2529,4486,2009,2034,2197,2796,3100
ENSMUSG00000092813,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048029,41,40,41,31,45,22,16,29,36,36
ENSMUSG00000024789,1260,1345,1631,1646,694,1643,1144,910,1012,698
ENSMUSG00000050957,5,3,2,1,1,6,3,5,5,3
ENSMUSG00000039097,9,16,11,15,4,4,1,14,17,4
ENSMUSG00000041362,2173,2896,4629,4830,1406,1979,1697,3025,2844,768
ENSMUSG00000118377,13,12,10,13,9,17,13,8,16,4
ENSMUSG00000006270,96,105,43,50,13,33,1,6,4,0
ENSMUSG00000117834,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000040901,1,0,0,2,0,0,0,1,0,0
ENSMUSG00000101630,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000016495,466,452,319,353,184,396,360,318,303,238
ENSMUSG00000025094,703,557,309,202,214,744,488,588,793,670
ENSMUSG00000016496,27,30,25,34,14,18,8,13,12,13
ENSMUSG00000117964,8,1,2,6,3,2,1,4,4,0
ENSMUSG00000074746,883,816,956,1002,1438,1013,896,677,1185,1182
ENSMUSG00000067038,5408,4445,3352,3095,1182,3738,3723,4810,2902,1243
ENSMUSG00000118276,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000110210,3,2,0,0,0,1,0,0,0,1
ENSMUSG00000043969,720,445,355,293,142,467,418,345,179,25
ENSMUSG00000100119,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118118,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000016498,1,1,2,0,0,0,1,1,4,0
ENSMUSG00000118031,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118190,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000090965,8,2,2,4,0,0,3,0,1,5
ENSMUSG00000040022,889,841,1057,1299,1324,1021,864,629,1006,776
ENSMUSG00000091378,1,1,1,2,1,2,0,3,5,0
ENSMUSG00000118291,0,0,1,0,2,1,2,0,2,2
ENSMUSG00000118166,0,0,0,0,0,0,3,0,0,1
ENSMUSG00000057858,347,265,259,276,221,778,429,316,354,353
ENSMUSG00000043623,0,2,0,0,3,0,1,0,2,0
ENSMUSG00000099678,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000045052,2,3,3,4,3,7,10,12,11,4
ENSMUSG00000024937,431,501,491,509,428,473,436,749,639,228
ENSMUSG00000024939,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000118125,103,101,102,117,66,101,132,124,126,41
ENSMUSG00000038658,981,1015,1096,1023,1012,1091,887,623,885,1158
ENSMUSG00000079478,3,5,4,7,3,2,4,8,4,5
ENSMUSG00000033417,869,714,690,681,695,913,686,487,657,656
ENSMUSG00002075851,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117790,1,0,1,0,1,0,0,0,0,0
ENSMUSG00000072437,355,430,436,458,430,577,569,575,594,280
ENSMUSG00000024991,6370,5044,5940,5781,4627,7007,4453,3529,4463,3586
ENSMUSG00000118735,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002075991,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002075125,0,0,0,1,0,0,0,0,1,1
ENSMUSG00000046324,338,283,331,491,1199,432,394,394,567,1597
ENSMUSG00000024806,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000024940,728,630,719,506,421,432,651,487,830,1842
ENSMUSG00000024993,378,346,382,456,453,414,312,303,446,645
ENSMUSG00000046138,1591,1384,1713,1600,1110,1437,1214,674,1249,1107
ENSMUSG00000118251,0,0,0,0,0,0,0,1,1,0
ENSMUSG00000083036,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000074909,563,515,467,462,492,973,663,614,643,960
ENSMUSG00000117883,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000063698,110,89,85,100,184,141,98,121,88,259
ENSMUSG00000024997,447,389,348,574,741,345,504,522,647,776
ENSMUSG00000024810,6,4,23,13,204,10,10,29,142,379
ENSMUSG00000087937,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024815,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000003228,391,387,467,430,410,468,401,316,333,629
ENSMUSG00000096578,2,1,2,2,3,3,1,0,1,1
ENSMUSG00000088894,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000074733,609,531,536,475,494,634,450,248,371,840
ENSMUSG00000070263,1,1,0,0,0,0,0,0,0,0
ENSMUSG00000118252,451,438,242,330,243,555,441,368,391,293
ENSMUSG00000094649,46,30,36,26,18,37,36,28,34,7
ENSMUSG00000069475,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024817,1702,1484,1383,1105,725,1663,1200,936,883,818
ENSMUSG00000024941,868,933,975,953,981,856,1041,1439,1137,1016
ENSMUSG00000059326,344,390,381,476,297,411,644,769,632,223
ENSMUSG00000117740,1,0,1,1,0,2,2,3,1,0
ENSMUSG00000117782,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117951,4,1,0,0,3,0,0,1,0,7
ENSMUSG00000095993,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118197,5,7,0,2,0,7,6,2,1,2
ENSMUSG00000024827,564,369,289,279,246,276,215,175,286,299
ENSMUSG00000058607,1,4,1,2,1,2,2,2,3,0
ENSMUSG00000024863,0,1,0,0,0,0,1,0,0,0
ENSMUSG00002075891,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002075253,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118374,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117953,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000058816,1,4,4,2,1,3,1,4,2,1
ENSMUSG00000024868,6,9,3,1,1,19,31,14,16,1
ENSMUSG00000052920,74,91,142,161,186,184,167,98,189,276
ENSMUSG00002076671,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000053536,1201,1047,987,1168,996,1495,1114,915,1025,1139
ENSMUSG00000118011,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000052595,0,4,2,0,0,0,1,0,0,0
ENSMUSG00000114443,1,2,1,0,0,3,0,1,0,0
ENSMUSG00000118366,0,0,0,0,0,0,0,0,1,1
ENSMUSG00000024887,35,35,45,55,243,62,53,27,87,524
ENSMUSG00000040451,136,163,222,195,332,168,210,169,251,526
ENSMUSG00000118064,1,1,1,0,2,3,4,1,1,1
ENSMUSG00000118355,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118329,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000062456,4820,3720,2528,2508,1449,3099,3454,3571,2971,2166
ENSMUSG00000024896,306,347,298,425,603,426,407,458,479,502
ENSMUSG00000118106,12,11,4,6,4,2,6,4,12,1
ENSMUSG00000024899,15,33,37,40,152,28,42,20,66,158
ENSMUSG00000013662,1562,1415,1307,1510,1824,2003,1335,1277,1582,1994
ENSMUSG00000013663,1971,1949,2169,2836,3383,2404,2098,1660,2655,2119
ENSMUSG00002074891,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117664,0,0,0,0,1,0,1,0,0,0
ENSMUSG00000118196,0,0,1,0,1,0,2,2,1,0
ENSMUSG00000071573,10,11,6,15,20,27,18,15,16,19
ENSMUSG00000106278,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000087112,1,1,3,3,3,6,2,2,3,2
ENSMUSG00000118289,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086875,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000079344,3,7,0,0,0,17,8,0,0,0
ENSMUSG00000118121,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024766,95,67,112,100,86,140,81,113,168,192
ENSMUSG00000118513,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002075994,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000086812,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118360,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117667,3,1,2,3,1,3,0,0,1,2
ENSMUSG00000085924,3,3,0,0,1,3,3,0,0,0
ENSMUSG00000087303,10,10,2,1,2,25,15,2,2,3
ENSMUSG00000079342,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000037603,19,10,9,6,7,15,14,9,6,16
ENSMUSG00000085934,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117821,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000065380,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024768,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000024771,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118302,0,0,1,0,0,1,0,0,0,0
ENSMUSG00000024770,0,0,0,0,1,0,0,0,1,0
ENSMUSG00002075813,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000056078,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024774,5,5,2,8,5,1,5,0,2,0
ENSMUSG00000024776,44,59,131,172,223,112,119,236,222,215
ENSMUSG00000035783,44,86,214,130,143,68,120,11,171,182
ENSMUSG00000118066,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024778,3,4,10,5,7,1,3,5,4,8
ENSMUSG00002075250,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002076079,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000050370,1,2,5,3,5,0,4,1,3,6
ENSMUSG00000097558,0,2,8,4,23,4,12,10,17,11
ENSMUSG00000024781,264,284,349,292,352,386,443,343,388,404
ENSMUSG00000118048,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000045932,147,140,186,182,153,98,110,130,223,97
